Ticker,Score,Months,Value,Values
NKE,1.2095,71,2.48963,1.00466|1.03466|1.06198|1.09182|1.12276|1.15342|1.18118|1.21262|1.24417|1.27384|1.30559|1.3363|1.36702|1.39723|1.42919|1.46555|1.50571|1.54806|1.59381|1.63999|1.68698|1.73599|1.78579|1.836|1.88879|1.94048|1.99362|2.04666|2.09864|2.14738|2.19869|2.25401|2.31348|2.37172|2.43157|2.48963
MO,1.0742,71,1.49483,0.99941|1.01642|1.03429|1.05276|1.0716|1.08902|1.10498|1.1205|1.13565|1.15314|1.1711|1.18918|1.20687|1.22129|1.23309|1.24661|1.26181|1.28074|1.29988|1.32379|1.34588|1.36156|1.3777|1.38999|1.40094|1.41175|1.42351|1.43659|1.45117|1.46278|1.46706|1.47125|1.47676|1.4826|1.48708|1.49483
ACN,1.1651,71,2.17086,1.00414|1.03207|1.05735|1.07945|1.10009|1.1242|1.15197|1.18133|1.2089|1.23744|1.26871|1.29957|1.32872|1.35611|1.38348|1.41258|1.44397|1.47714|1.50893|1.54143|1.57606|1.6086|1.64552|1.68494|1.72501|1.76737|1.80577|1.83973|1.87437|1.91454|1.95684|2.00026|2.03998|2.07992|2.12501|2.17086
TMO,1.1964000000000001,71,2.38342,1.00477|1.03174|1.05951|1.0876|1.11564|1.14239|1.16948|1.19769|1.22782|1.2594|1.29156|1.32316|1.3536|1.38527|1.41746|1.45291|1.48868|1.52574|1.56427|1.60528|1.64681|1.68822|1.73441|1.7828|1.83105|1.88026|1.92951|1.98079|2.03287|2.0836|2.13527|2.18836|2.23857|2.28717|2.33611|2.38342
COST,1.1253,71,1.87668,0.9984|1.01494|1.03193|1.0529|1.07229|1.09184|1.11057|1.12852|1.14777|1.16613|1.18562|1.20626|1.22566|1.24673|1.26743|1.29068|1.31618|1.3411|1.36817|1.39575|1.42323|1.45033|1.47936|1.50975|1.5422|1.57398|1.60486|1.63332|1.66023|1.68598|1.71348|1.74399|1.7782|1.81116|1.84554|1.87668
TXN,1.0949,71,1.63008,0.99306|1.00239|1.015|1.02917|1.04358|1.06056|1.07587|1.09245|1.10829|1.12401|1.1414|1.16097|1.18331|1.20313|1.22274|1.24117|1.26067|1.27959|1.29657|1.31164|1.32806|1.34354|1.3621|1.38411|1.40792|1.43301|1.45775|1.48213|1.50685|1.52958|1.55045|1.56845|1.58488|1.60068|1.61459|1.63008
UTX,1.0916,71,1.63734,0.99882|1.01497|1.03091|1.04866|1.06506|1.08028|1.09531|1.11036|1.1249|1.13965|1.15824|1.17697|1.19378|1.20863|1.22317|1.23821|1.25582|1.27339|1.29145|1.30973|1.32934|1.34725|1.36681|1.38824|1.40928|1.43218|1.45576|1.47855|1.50034|1.52212|1.54259|1.56197|1.58061|1.59961|1.6194|1.63734
NVDA,1.45,69,3.79236,1.01025|1.07247|1.13808|1.19625|1.25839|1.32859|1.41264|1.50402|1.58856|1.67204|1.7755|1.89121|1.99799|2.11119|2.2232|2.33184|2.44973|2.57493|2.695|2.77795|2.85849|2.94274|3.02355|3.10617|3.19737|3.28697|3.38052|3.4877|3.58954|3.67693|3.7538|3.78632|3.78795|3.79089|3.79236|3.79219
NEE,1.1221,71,1.85223,1.00269|1.02391|1.04502|1.06571|1.08541|1.10296|1.12092|1.1398|1.16078|1.18222|1.20488|1.22775|1.24997|1.27164|1.29282|1.3168|1.34275|1.36857|1.39464|1.42037|1.4441|1.46763|1.49273|1.51814|1.54481|1.57253|1.60185|1.63054|1.65996|1.68974|1.71945|1.74741|1.77442|1.7994|1.82579|1.85223
GE,1.0004,1,0.98621,0.98621|0.97885|0.96935|0.96528|0.95917|0.95572|0.95251|0.95089|0.94959|0.94982|0.95147|0.95351|0.95439|0.95371|0.95348|0.9541|0.95647|0.96051|0.96441|0.9675|0.97045|0.97342|0.97429|0.977|0.97705|0.97696|0.9765|0.97465|0.97252|0.9673|0.96141|0.95441|0.94672|0.93686|0.92828|0.91797
SBUX,1.2725,71,2.83638,1.00455|1.0352|1.06935|1.10361|1.13817|1.17319|1.21182|1.24954|1.29214|1.33552|1.38404|1.43704|1.489|1.54094|1.5953|1.65066|1.71224|1.77498|1.84085|1.90377|1.96299|2.01978|2.08042|2.14282|2.20874|2.2733|2.33883|2.39829|2.45613|2.50362|2.54732|2.59554|2.65199|2.71137|2.7752|2.83638
GILD,1.4014,71,3.76567,1.00444|1.04286|1.08398|1.12474|1.16598|1.21313|1.26543|1.32178|1.38014|1.44222|1.50542|1.56963|1.63918|1.71312|1.79196|1.87197|1.95781|2.04644|2.13888|2.23305|2.32309|2.40548|2.48539|2.57249|2.66412|2.76055|2.85488|2.94748|3.04155|3.14119|3.24526|3.34871|3.45029|3.55569|3.66493|3.76567
