Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","Equity","0.45","37.17","5,853,921.00","217,590,243.57","217,590,243.57","Real Estate","2043274","US6819361006","New York Stock Exchange Inc."
"TECH","BIO TECHNE CORP","Equity","0.45","200.44","1,082,401.00","216,956,456.44","216,956,456.44","Health Care","BSHZ3Q0","US09073M1045","NASDAQ"
"TTC","TORO","Equity","0.43","68.93","3,042,033.00","209,687,334.69","209,687,334.69","Industrials","2897040","US8910921084","New York Stock Exchange Inc."
"EXEL","EXELIXIS INC","Equity","0.43","24.28","8,602,725.00","208,874,163.00","208,874,163.00","Health Care","2576941","US30161Q1040","NASDAQ"
"SCI","SERVICE","Equity","0.43","39.83","5,196,651.00","206,982,609.33","206,982,609.33","Consumer Discretionary","2797560","US8175651046","New York Stock Exchange Inc."
"POST","POST HOLDINGS INC","Equity","0.43","108.44","1,905,718.00","206,656,059.92","206,656,059.92","Consumer Staples","B6T0518","US7374461041","New York Stock Exchange Inc."
"CDK","CDK GLOBAL INC","Equity","0.43","57.77","3,574,639.00","206,506,895.03","206,506,895.03","Information Technology","BQXTWQ5","US12508E1010","NASDAQ"
"LPT","LIBERTY PROPERTY REIT TRUST","Equity","0.43","48.64","4,240,530.00","206,259,379.20","206,259,379.20","Real Estate","2513681","US5311721048","New York Stock Exchange Inc."
"MPW","MEDICAL PROPERTIES TRUST REIT INC","Equity","0.43","18.84","10,921,645.00","205,763,791.80","205,763,791.80","Real Estate","B0JL5L9","US58463J3041","New York Stock Exchange Inc."
"SBNY","SIGNATURE BANK","Equity","0.42","130.07","1,579,220.00","205,409,145.40","205,409,145.40","Financials","B00JQL9","US82669G1040","NASDAQ"
"EWBC","EAST WEST BANCORP INC","Equity","0.42","49.40","4,155,125.00","205,263,175.00","205,263,175.00","Financials","2487407","US27579R1041","NASDAQ"
"HRC","HILL ROM HOLDINGS INC","Equity","0.42","107.10","1,910,597.00","204,624,938.70","204,624,938.70","Health Care","2425924","US4314751029","New York Stock Exchange Inc."
"CRL","CHARLES RIVER LABORATORIES INTERNA","Equity","0.42","146.73","1,382,197.00","202,809,765.81","202,809,765.81","Health Care","2604336","US1598641074","New York Stock Exchange Inc."
"CSL","CARLISLE COMPANIES INC","Equity","0.42","123.34","1,641,666.00","202,483,084.44","202,483,084.44","Industrials","2176318","US1423391002","New York Stock Exchange Inc."
"JLL","JONES LANG LASALLE INC","Equity","0.42","154.24","1,307,685.00","201,697,334.40","201,697,334.40","Real Estate","2040640","US48020Q1076","New York Stock Exchange Inc."
"TER","TERADYNE INC","Equity","0.42","40.51","4,976,359.00","201,592,303.09","201,592,303.09","Information Technology","2884183","US8807701029","NASDAQ"
"NDSN","NORDSON CORP","Equity","0.41","133.81","1,478,594.00","197,850,663.14","197,850,663.14","Industrials","2641838","US6556631025","NASDAQ"
"OLED","UNIVERSAL DISPLAY CORP","Equity","0.41","161.62","1,215,053.00","196,376,865.86","196,376,865.86","Information Technology","2277880","US91347P1057","NASDAQ"
