Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"SBUX","STARBUCKS CORP","Equity","0.59","71.63","1,977,088.00","141,618,813.44","141,618,813.44","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"HSY","HERSHEY FOODS","Equity","0.59","109.80","1,281,579.00","140,717,374.20","140,717,374.20","Consumer Staples","2422806","US4278661081","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","0.56","980.98","135,416.00","132,840,387.68","132,840,387.68","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"CMCSA","COMCAST CORP CLASS A","Equity","0.54","39.47","3,256,134.00","128,519,608.98","128,519,608.98","Communication","2044545","US20030N1019","NASDAQ"
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.53","154.02","829,827.00","127,809,954.54","127,809,954.54","Information Technology","2065308","US0530151036","NASDAQ"
"ANTM","ANTHEM INC","Equity","0.52","303.01","413,383.00","125,259,182.83","125,259,182.83","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.52","124.69","996,677.00","124,275,655.13","124,275,655.13","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.52","52.64","2,344,195.00","123,398,424.80","123,398,424.80","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","0.52","77.82","1,585,183.00","123,358,941.06","123,358,941.06","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.50","82.87","1,428,778.00","118,402,832.86","118,402,832.86","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.49","48.18","2,444,773.00","117,789,163.14","117,789,163.14","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.49","125.31","938,964.00","117,661,578.84","117,661,578.84","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","0.49","131.33","884,408.00","116,149,302.64","116,149,302.64","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"HRL","HORMEL FOODS CORP","Equity","0.48","42.30","2,688,417.00","113,720,039.10","113,720,039.10","Consumer Staples","2437264","US4404521001","New York Stock Exchange Inc."
"LH","LABORATORY CORPORATION OF AMERICA","Equity","0.47","154.11","737,059.00","113,588,162.49","113,588,162.49","Health Care","2586122","US50540R4092","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.47","50.37","2,250,316.00","113,348,416.92","113,348,416.92","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"CLX","CLOROX","Equity","0.47","155.95","723,603.00","112,845,887.85","112,845,887.85","Consumer Staples","2204026","US1890541097","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.47","265.63","424,370.00","112,725,403.10","112,725,403.10","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Equity","0.45","71.71","1,510,763.00","108,336,814.73","108,336,814.73","Information Technology","2257019","US1924461023","NASDAQ"
