Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"DE","DEERE","Equity","0.22","162.85","2,194,380.00","357,354,783.00","357,354,783.00","Industrials","2261203","US2441991054","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.22","39.62","8,946,284.00","354,451,772.08","354,451,772.08","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.22","50.22","7,012,566.00","352,171,064.52","352,171,064.52","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.22","66.60","5,146,129.00","342,732,191.40","342,732,191.40","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","0.21","287.50","1,185,219.00","340,750,462.50","340,750,462.50","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"NSC","NORFOLK SOUTHERN CORP","Equity","0.21","182.94","1,853,223.00","339,028,615.62","339,028,615.62","Industrials","2641894","US6558441084","New York Stock Exchange Inc."
"SPGI","S&P GLOBAL INC","Equity","0.21","198.15","1,707,562.00","338,353,410.30","338,353,410.30","Financials","BYV2325","US78409V1044","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.21","119.36","2,827,530.00","337,493,980.80","337,493,980.80","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.21","52.95","6,200,329.00","328,307,420.55","328,307,420.55","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","0.20","171.63","1,897,448.00","325,659,000.24","325,659,000.24","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.20","48.49","6,591,012.00","319,598,171.88","319,598,171.88","Utilities","2670519","US30161N1019","New York Stock Exchange Inc."
"VRTX","VERTEX PHARMACEUTICALS INC","Equity","0.20","183.06","1,742,942.00","319,062,962.52","319,062,962.52","Health Care","2931034","US92532F1003","NASDAQ"
"MU","MICRON TECHNOLOGY INC","Equity","0.20","41.53","7,631,083.00","316,918,876.99","316,918,876.99","Information Technology","2588184","US5951121038","NASDAQ"
"MMC","MARSH & MCLENNAN INC","Equity","0.20","92.09","3,439,004.00","316,697,878.36","316,697,878.36","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"ZTS","ZOETIS INC CLASS A","Equity","0.19","93.47","3,282,052.00","306,773,400.44","306,773,400.44","Health Care","B95WG16","US98978V1035","New York Stock Exchange Inc."
"PLD","PROLOGIS REIT INC","Equity","0.19","71.03","4,290,679.00","304,766,929.37","304,766,929.37","Real Estate","B44WZD7","US74340W1036","New York Stock Exchange Inc."
"MPC","MARATHON PETROLEUM CORP","Equity","0.19","64.66","4,708,613.00","304,458,916.58","304,458,916.58","Energy","B3K3L40","US56585A1025","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.19","182.28","1,655,656.00","301,792,975.68","301,792,975.68","Industrials","2142784","US31428X1063","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.19","44.76","6,714,764.00","300,552,836.64","300,552,836.64","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
