Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TXT","TEXTRON INC","Equity","0.05","54.69","180,378.00","9,864,872.82","9,864,872.82","Industrials","2885937","US8832031012","New York Stock Exchange Inc."
"FDC","FIRST DATA CORP CLASS A","Equity","0.05","25.20","391,183.00","9,857,811.60","9,857,811.60","Information Technology","BYX3ZN1","US32008D1063","New York Stock Exchange Inc."
"BHGE","BAKER HUGHES CLASS A","Equity","0.05","26.27","373,312.00","9,806,906.24","9,806,906.24","Energy","BDHLTQ5","US05722G1004","New York Stock Exchange Inc."
"ABC","AMERISOURCEBERGEN CORP","Equity","0.05","84.98","115,285.00","9,796,919.30","9,796,919.30","Health Care","2795393","US03073E1055","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","0.05","62.55","156,548.00","9,792,077.40","9,792,077.40","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.05","85.54","112,825.00","9,651,050.50","9,651,050.50","Financials","2196888","US1720621010","NASDAQ"
"L","LOEWS CORP","Equity","0.05","47.53","202,926.00","9,645,072.78","9,645,072.78","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"WYNN","WYNN RESORTS LTD","Equity","0.05","129.63","74,247.00","9,624,638.61","9,624,638.61","Consumer Discretionary","2963811","US9831341071","NASDAQ"
"XYL","XYLEM INC","Equity","0.05","74.32","129,367.00","9,614,555.44","9,614,555.44","Industrials","B3P2CN8","US98419M1009","New York Stock Exchange Inc."
"DOV","DOVER CORP","Equity","0.05","91.57","104,969.00","9,612,011.33","9,612,011.33","Industrials","2278407","US2600031080","New York Stock Exchange Inc."
"EFX","EQUIFAX INC","Equity","0.05","110.49","86,822.00","9,592,962.78","9,592,962.78","Industrials","2319146","US2944291051","New York Stock Exchange Inc."
"SIVB","SVB FINANCIAL GROUP","Equity","0.05","245.65","38,827.00","9,537,852.55","9,537,852.55","Financials","2808053","US78486Q1013","NASDAQ"
"EXPD","EXPEDITORS INTERNATIONAL OF WASHIN","Equity","0.05","75.52","125,321.00","9,464,241.92","9,464,241.92","Industrials","2325507","US3021301094","NASDAQ"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Equity","0.05","128.74","73,320.00","9,439,216.80","9,439,216.80","Materials","2464165","US4595061015","New York Stock Exchange Inc."
"APA","APACHE CORP","Equity","0.05","33.37","277,126.00","9,247,694.62","9,247,694.62","Energy","2043962","US0374111054","New York Stock Exchange Inc."
"CTL","CENTURYLINK INC","Equity","0.05","13.33","693,120.00","9,239,289.60","9,239,289.60","Communication","2185046","US1567001060","New York Stock Exchange Inc."
"CHRW","CH ROBINSON WORLDWIDE INC","Equity","0.05","92.18","99,910.00","9,209,703.80","9,209,703.80","Industrials","2116228","US12541W2098","NASDAQ"
"DXCM","DEXCOM INC","Equity","0.05","146.25","62,911.00","9,200,733.75","9,200,733.75","Health Care","B0796X4","US2521311074","NASDAQ"
"IT","GARTNER INC","Equity","0.05","141.80","64,640.00","9,165,952.00","9,165,952.00","Information Technology","2372763","US3666511072","New York Stock Exchange Inc."
"HOLX","HOLOGIC INC","Equity","0.05","46.45","195,536.00","9,082,647.20","9,082,647.20","Health Care","2433530","US4364401012","NASDAQ"
"TFX","TELEFLEX INC","Equity","0.05","275.23","32,895.00","9,053,690.85","9,053,690.85","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.05","32.29","279,145.00","9,013,592.05","9,013,592.05","Financials","2740542","BMG0450A1053","NASDAQ"
"NRG","NRG ENERGY INC","Equity","0.05","42.46","210,672.00","8,945,133.12","8,945,133.12","Utilities","2212922","US6293775085","New York Stock Exchange Inc."
"GDDY","GODADDY INC CLASS A","Equity","0.05","75.85","117,787.00","8,934,143.95","8,934,143.95","Information Technology","BWFRFC6","US3802371076","New York Stock Exchange Inc."
"ETFC","E TRADE FINANCIAL CORP","Equity","0.05","48.23","185,152.00","8,929,880.96","8,929,880.96","Financials","2299011","US2692464017","NASDAQ"
"SSNC","SS AND C TECHNOLOGIES HOLDINGS INC","Equity","0.05","59.17","149,057.00","8,819,702.69","8,819,702.69","Information Technology","B58YSC6","US78467J1007","NASDAQ"
