format=1 tracks=10 division=480
BA 13 CR 2 TR 2 CH 3 NT G#-- 1+179/240
BA 13 CR 2 TR 3 CH 5 NT G#' 7/16
BA 13 CR 2 TR 4 CH 4 NT F'' 5/8
BA 13 CR 2 TR 8 CH 10 NT C-- 3/16
BA 13 CR 2 TR 9 CH 10 NT F#-- 5/16
BA 13 CR 2+1/2 TR 1 CH 2 NT Eb 1/2
BA 13 CR 2+1/2 TR 3 CH 5 NT G' 7/16
BA 13 CR 2+1/2 TR 9 CH 10 NT F#-- 5/24
BA 13 CR 3 TR 1 CH 2 NT C 1
BA 13 CR 3 TR 3 CH 5 NT G#' 7/16
BA 13 CR 3 TR 4 CH 4 NT F'' 5/8
BA 13 CR 3 TR 7 CH 10 NT D-- 5/24
BA 13 CR 3 TR 9 CH 10 NT F#-- 5/16
BA 13 CR 3+1/2 TR 3 CH 5 NT Bb' 7/16
BA 13 CR 3+1/2 TR 9 CH 10 NT F#-- 5/24
BA 14 CR 0 TR 1 CH 2 NT G 1
BA 14 CR 0 TR 2 CH 3 NT Eb-- 1+91/240
BA 14 CR 0 TR 3 CH 5 NT C'' 7/16
BA 14 CR 0 TR 4 CH 4 NT F'' 5/8
BA 14 CR 0 TR 8 CH 10 NT C-- 3/16
BA 14 CR 0 TR 9 CH 10 NT F#-- 5/16
BA 14 CR 1/2 TR 3 CH 5 NT G#' 7/16
BA 14 CR 1/2 TR 9 CH 10 NT F#-- 5/24
BA 14 CR 1 TR 1 CH 2 NT G# 77/96
BA 14 CR 1 TR 3 CH 5 NT G' 7/16
BA 14 CR 1 TR 4 CH 4 NT F'' 5/8
BA 14 CR 1 TR 7 CH 10 NT D-- 5/24
BA 14 CR 1 TR 9 CH 10 NT F#-- 5/16
BA 14 CR 1+1/2 TR 2 CH 3 NT G#-- 17/20
BA 14 CR 1+1/2 TR 3 CH 5 NT G#' 7/16
BA 14 CR 1+1/2 TR 8 CH 10 NT C-- 3/16
BA 14 CR 1+1/2 TR 9 CH 10 NT F#-- 5/24
BA 14 CR 2 TR 1 CH 2 NT F 1+67/160
BA 14 CR 2 TR 3 CH 5 NT F' 7/16
BA 14 CR 2 TR 4 CH 4 NT F'' 5/8
BA 14 CR 2 TR 8 CH 10 NT C-- 3/16
BA 14 CR 2 TR 9 CH 10 NT F#-- 5/16
BA 14 CR 2+1/2 TR 2 CH 3 NT F-- 1+11/48
BA 14 CR 2+1/2 TR 3 CH 5 NT C' 7/16
BA 14 CR 2+1/2 TR 9 CH 10 NT F#-- 5/24
BA 14 CR 3 TR 3 CH 5 NT F' 7/16
BA 14 CR 3 TR 4 CH 4 NT F'' 5/8
BA 14 CR 3 TR 7 CH 10 NT D-- 5/24
BA 14 CR 3 TR 9 CH 10 NT F#-- 5/16
BA 14 CR 3+1/2 TR 1 CH 2 NT F 9/40
BA 14 CR 3+1/2 TR 3 CH 5 NT G' 7/16
BA 14 CR 3+1/2 TR 9 CH 10 NT F#-- 5/24
BA 14 CR 3+3/4 TR 1 CH 2 NT G 31/160
BA 15 CR 0 TR 3 CH 5 NT G#' 7/16
BA 15 CR 0 TR 4 CH 4 NT F'' 5/8
BA 15 CR 0 TR 8 CH 10 NT C-- 3/16
BA 15 CR 0 TR 9 CH 10 NT F#-- 5/16
BA 15 CR 1/160 TR 2 CH 3 NT F-- 1+4/5
BA 15 CR 1/60 TR 1 CH 2 NT C' 1+107/120
BA 15 CR 1/2 TR 3 CH 5 NT G' 7/16
BA 15 CR 1/2 TR 9 CH 10 NT F#-- 5/24
BA 15 CR 7/10 TR 6 CH 7 Channel volume 100
BA 15 CR 1 TR 3 CH 5 NT G#' 7/16
BA 15 CR 1 TR 4 CH 4 NT F'' 5/8
BA 15 CR 1 TR 7 CH 10 NT D-- 5/24
BA 15 CR 1+23/240 TR 9 CH 10 NT F#-- 5/16
BA 15 CR 1+1/2 TR 3 CH 5 NT Bb' 7/16
BA 15 CR 1+1/2 TR 8 CH 10 NT C-- 3/16
BA 15 CR 1+1/2 TR 9 CH 10 NT F#-- 5/24
BA 15 CR 1+3/4 TR 3 CH 5 NT G#' 7/16
BA 15 CR 1+95/96 TR 2 CH 3 NT Eb-- 1+4/5
BA 15 CR 2 TR 3 CH 5 NT Bb' 7/16
BA 15 CR 2 TR 4 CH 4 NT F'' 5/8
BA 15 CR 2 TR 8 CH 10 NT C-- 3/16
BA 15 CR 2 TR 9 CH 10 NT F#-- 5/16
BA 15 CR 2+1/120 TR 1 CH 2 NT Bb 1+101/240
BA 15 CR 2+1/2 TR 3 CH 5 NT G#' 7/16
BA 15 CR 2+1/2 TR 9 CH 10 NT F#-- 5/24
BA 15 CR 3 TR 3 CH 5 NT Bb' 7/16
BA 15 CR 3 TR 4 CH 4 NT F'' 5/8
BA 15 CR 3 TR 7 CH 10 NT D-- 5/24
BA 15 CR 3 TR 9 CH 10 NT F#-- 5/16
BA 15 CR 3+1/2 TR 3 CH 5 NT G' 7/16
BA 15 CR 3+1/2 TR 9 CH 10 NT F#-- 5/24
BA 15 CR 3+241/480 TR 1 CH 2 NT G 7/15
BA 15 CR 3+119/120 TR 1 CH 2 NT F 2+7/8
BA 16 CR 0 TR 3 CH 5 NT F' 7/16
BA 16 CR 0 TR 4 CH 4 NT F'' 5/8
BA 16 CR 0 TR 8 CH 10 NT C-- 3/16
BA 16 CR 0 TR 9 CH 10 NT F#-- 5/16
