,Change,Shares,DataSize,LoseStreak,Invested,CurrentValue,LastPurchase
LNC,1.1755725190839694,22,3056,10,1179,1386,2018-12-26
L,1.1214953271028036,5,3056,9,214,240,2010-05-21
IFF,1.123088493356731,35,3056,11,3989,4480,2017-11-10
IT,1.8547995139732685,43,3056,11,3292,6106,2018-12-26
CINF,1.6821515892420538,8,3056,9,409,688,2017-11-01
EXPD,1.342756183745583,5,3056,7,283,380,2018-12-26
WYNN,1.6035339591385975,22,3056,9,1811,2904,2016-08-29
CTL,0.30952380952380953,4,3056,8,168,52,2008-04-23
TFX,2.6102442333785616,27,3056,10,2948,7695,2018-12-26
APA,0.4507548526240115,19,3056,10,1391,627,2018-12-26
CHRW,1.3529411764705883,1,3056,7,68,92,2012-10-25
NCLH,0.9016393442622951,3,1534,7,183,165,2018-10-16
FTNT,2.346653346653347,27,2330,8,1001,2349,2018-10-16
NRG,1.6342412451361867,10,3056,9,257,420,2015-10-05
HOLX,0.9748148148148148,14,3056,10,675,658,2018-12-26
ETFC,1.1983695652173914,45,3056,11,1840,2205,2018-12-26
SJM,1.113806793118659,25,3056,10,2267,2525,2017-07-13
FMC,1.306422018348624,8,3056,8,545,712,2018-12-26
MAA,1.5294117647058822,12,3056,9,816,1248,2012-08-17
TSCO,1.6134453781512605,8,3056,8,476,768,2018-12-26
DGX,0.8262910798122066,6,278,9,639,528,2018-12-26
VNO,0.843520782396088,10,3056,10,818,690,2018-12-26
MOS,0.6697674418604651,9,3056,9,430,288,2015-10-02
EXR,1.144578313253012,8,3056,9,664,760,2017-05-15
VAR,1.1848552338530067,4,3056,8,449,532,2018-12-26
MLM,1.0955518945634266,7,3056,8,1214,1330,2018-03-02
CAG,0.6312178387650086,16,3056,11,583,368,2019-01-03
TAP,0.7503782148260212,16,3056,9,1322,992,2018-12-26
AAP,1.523659305993691,15,3056,13,1585,2415,2018-12-26
ATO,2.25,4,3056,7,176,396,2013-06-24
EMN,1.0862068965517242,3,3056,7,232,252,2018-10-16
STX,1.9583333333333333,8,3056,7,192,376,2015-01-14
MAS,1.532258064516129,35,3056,10,868,1330,2018-10-23
NBL,0.5062893081761006,14,3056,8,636,322,2018-12-26
KSU,1.4185303514376997,12,3056,9,939,1332,2018-10-15
UHS,4.533333333333333,1,3056,7,30,136,2008-10-10
REG,1.0065359477124183,7,3056,8,459,462,2018-01-31
NOV,0.5083207261724659,12,3056,9,661,336,2018-12-26
AKAM,1.2280701754385965,17,3056,10,969,1190,2018-12-26
URI,1.7196652719665273,21,3056,10,1673,2877,2018-10-16
LNT,0.9583333333333334,1,3056,7,48,46,2018-06-12
CBOE,1.043010752688172,7,2188,8,651,679,2018-12-26
DRE,0.7317073170731707,20,3056,9,820,600,2009-03-10
KMX,1.5795314426633786,21,3056,9,811,1281,2018-12-21
RJF,1.4705882352941178,25,3056,11,1428,2100,2017-08-22
KSS,0.9152196118488254,14,3056,10,979,896,2018-07-16
COG,0.7741935483870968,4,3056,7,124,96,2018-05-30
PKI,1.1370967741935485,6,3056,7,496,564,2018-12-26
PNW,1.1204819277108433,4,3056,7,332,372,2016-10-10
FFIV,1.0250297973778308,5,3056,8,839,860,2018-10-16
LW,0.8333333333333334,1,573,7,84,70,2018-12-11
JKHY,1.3838150289017341,9,3056,10,865,1197,2018-12-26
VIAB,0.43361691157514826,58,3056,13,3879,1682,2018-12-26
IRM,0.9230769230769231,3,3056,7,117,108,2011-08-09
TPR,0.7620528771384136,14,3056,9,643,490,2018-10-31
WRK,0.6971201588877854,18,923,10,1007,702,2018-10-16
CF,0.8073394495412844,4,3056,7,218,176,2015-10-02
TTWO,1.3882978723404256,9,3056,9,564,783,2018-11-15
FRT,0.982532751091703,10,3056,10,1374,1350,2017-03-10
GRMN,1.378228782287823,9,3056,8,542,747,2018-10-22
NDAQ,1.8182795698924732,19,3056,11,930,1691,2018-12-26
HAS,1.568755846585594,39,3056,9,2138,3354,2018-03-21
DISCK,0.7692307692307693,30,2625,9,1092,840,2018-03-29
TIF,1.7607573149741824,22,3056,9,1162,2046,2017-01-04
ZION,0.9582463465553236,9,3056,8,479,459,2018-10-25
FTI,0.4938650306748466,14,3056,8,652,322,2018-11-09
BEN,0.654643823264202,22,3056,8,1109,726,2018-12-26
JBHT,1.1232481450948062,25,3056,11,2426,2725,2018-07-02
HII,1.7510862818125388,13,1994,8,1611,2821,2018-05-04
JNPR,0.8,1,3056,7,35,28,2014-03-14
ALB,1.2524834437086092,17,3056,14,1208,1513,2018-12-26
XRAY,0.6980609418282548,6,3056,9,361,252,2018-04-03
PKG,1.0315789473684212,2,3056,7,190,196,2018-10-04
RE,1.5594231725509697,14,3056,9,2011,3136,2017-12-08
AVY,1.39518555667001,13,3056,8,997,1391,2018-10-16
WHR,0.9931972789115646,16,3056,10,2352,2336,2018-12-26
HSIC,1.3677811550151975,15,3056,10,658,900,2018-12-26
NLSN,0.49523809523809526,4,2031,8,210,104,2014-01-30
IPG,1.411764705882353,3,3056,7,51,72,2008-01-14
SNA,0.9226361031518625,2,3056,7,349,322,2018-10-15
JEC,1.2392344497607655,14,3056,9,836,1036,2018-12-26
HFC,1.3417402269861287,19,3056,9,793,1064,2018-12-26
MHK,1.1453058044409816,21,3056,11,2567,2940,2018-10-03
PVH,1.6070038910505837,28,3056,10,2056,3304,2018-12-26
BWA,0.871841155234657,23,3056,13,1108,966,2018-07-02
ALLE,1.1116600790513833,25,1324,10,2024,2250,2018-12-26
TMK,1.360655737704918,14,3056,10,854,1162,2018-12-26
UNM,0.9058380414312618,26,3056,8,1062,962,2018-12-26
QRVO,1.1971830985915493,5,1042,9,284,340,2015-09-29
RHI,1.539622641509434,12,3056,9,530,816,2018-10-16
ADS,0.9988518943742825,25,3056,12,4355,4350,2018-12-26
ARNC,0.4676674364896074,45,3056,14,1732,810,2018-03-06
IVZ,0.4066147859922179,11,3056,9,514,209,2015-01-29
SLG,1.1444976076555025,13,3056,9,1045,1196,2018-12-26
AIV,1.1428571428571428,8,3056,8,350,400,2010-07-07
M,0.6024291497975709,31,3056,9,1235,744,2017-01-23
ALK,0.7604029785370127,28,3056,12,2283,1736,2018-10-16
AOS,0.8623279098873592,13,3056,13,799,689,2018-10-16
NWL,0.5683890577507599,11,3056,9,329,187,2018-12-26
DISH,0.9235074626865671,15,3056,12,536,495,2018-12-26
DVA,0.8147295742232451,12,3056,10,869,708,2018-04-04
FLIR,0.9137931034482759,4,3056,7,232,212,2018-10-16
XEC,0.7208809826344769,23,3056,14,2361,1702,2018-12-26
PHM,1.75,6,3056,7,96,168,2010-12-01
NKTR,1.2877263581488934,16,3056,8,497,640,2018-04-26
CPB,0.8048780487804879,3,3056,7,123,99,2008-01-23
