,Change,Shares,DataSize,LoseStreak,Invested,CurrentValue,LastPurchase
IYJ,1.3275109170305677,6,2300,9,687,912,2018-12-26
IYK,1.0129870129870129,4,2300,10,462,468,2018-12-26
IYLD,0.6885593220338984,39,1730,10,1416,975,2014-12-17
IYM,1.0637254901960784,14,2300,12,1224,1302,2018-12-26
IYT,1.1560188298587761,9,2300,12,1487,1719,2018-12-26
IYW,1.4504623513870543,6,2300,8,757,1098,2018-10-16
IYY,1.2095032397408207,4,2300,9,463,560,2018-12-26
IYZ,0.9012875536480687,14,2300,8,466,420,2012-11-23
IZRL,0.7352185089974294,13,305,7,389,286,2018-04-25
JDST,0.01439915299100053,8,1356,9,18890,272,2019-02-06
JETS,0.96875,2,961,7,64,62,2016-02-01
JHMF,0.8411214953271028,5,839,7,214,180,2017-03-07
JHMI,0.9013254786450663,17,632,7,679,612,2017-03-27
JHMM,0.8848314606741573,9,839,8,356,315,2018-12-26
JHMT,0.9945945945945946,12,855,8,555,552,2018-04-04
JHMU,0.7954545454545454,35,677,13,1364,1085,2018-11-07
JHSC,0.7377906976744186,47,323,16,1720,1269,2018-12-26
JJA,0.7540983606557377,3,2283,8,183,138,2011-09-26
JJG,0.88125,15,2283,10,800,705,2014-06-06
JJP,0.496551724137931,3,2283,8,290,144,2011-12-29
JJS,0.52465483234714,19,2283,12,1521,798,2011-12-27
JJU,1.4338085539714867,64,2283,9,1964,2816,2015-08-31
JKD,1.0964607911172797,10,2300,10,1441,1580,2018-12-26
JKE,1.2672566371681415,4,2300,9,565,716,2018-12-26
JKF,1.0069084628670122,22,2300,10,2316,2332,2018-12-26
JKG,1.2453117080587937,26,2300,11,3946,4914,2018-12-26
JKH,1.02424670433145,19,2300,16,4248,4351,2018-12-26
JKI,1.0686506594521474,20,2300,10,2957,3160,2018-12-26
JKJ,1.101763907734057,14,2300,11,2211,2436,2018-12-26
JKK,1.1584609019445593,14,2300,10,2417,2800,2018-12-26
JKL,1.0909712722298222,11,2300,12,1462,1595,2018-12-26
JNUG,0.09224318658280922,11,1356,9,1431,132,2017-10-30
JO,0.754880694143167,29,2283,10,1383,1044,2018-07-06
JPME,0.9450726978998385,9,673,8,619,585,2018-12-26
JPMF,0.7064291247095275,114,303,9,3873,2736,2019-01-02
JPMV,0.8736762481089259,70,1188,8,5288,4620,2018-09-21
JPNL,1.0146341463414634,4,1425,9,205,208,2018-12-26
JPUS,1.0138888888888888,1,855,7,72,73,2018-12-26
JPXN,0.8121927236971485,14,2300,7,1017,826,2018-08-16
JSMD,0.8169761273209549,7,754,8,377,308,2018-10-08
JSML,1.779049295774648,47,1953,8,1136,2021,2018-12-24
JUST,0.9090909090909091,2,425,7,88,80,2018-12-26
KBA,0.5370370370370371,1,1252,7,54,29,2015-07-09
KBE,1.0952380952380953,31,2300,9,1302,1426,2018-12-26
KBWB,1.1938775510204083,9,1838,9,392,468,2018-12-20
KBWD,0.6432748538011696,15,2069,8,513,330,2013-09-09
KBWP,1.2572062084257207,18,2055,10,902,1134,2018-10-25
KBWR,1.12,14,1838,10,675,756,2018-12-26
KBWY,0.727509778357236,72,2069,14,3068,2232,2018-02-16
KCE,0.9522160664819944,25,2300,9,1444,1375,2018-10-15
KFYP,0.5996924654023578,90,1407,7,3902,2340,2017-05-09
KLDW,0.8947368421052632,34,884,9,1216,1088,2016-07-06
KNG,0.84,6,2164,8,300,252,2018-10-26
KNOW,0.9473684210526315,9,1812,8,380,360,2018-12-26
KOIN,0.7575757575757576,1,374,7,33,25,2018-10-30
KOL,0.37333333333333335,8,2300,7,300,112,2014-10-15
KOLD,0.5673352435530086,9,1856,9,349,198,2018-11-15
KORU,0.7664670658682635,4,1479,8,167,128,2015-01-08
KRE,1.334140435835351,29,2300,10,1239,1653,2018-12-26
KWEB,1.0043668122270741,25,1400,7,1145,1150,2017-10-31
KXI,0.9090909090909091,1,2300,7,55,50,2018-12-26
LABD,0.0121977089520577,5,942,8,9428,115,2017-12-29
LABU,0.6989010989010989,6,942,8,455,318,2018-12-24
LBDC,0.5817610062893082,74,841,11,1908,1110,2018-12-24
LBJ,0.33088235294117646,15,2300,9,1224,405,2018-12-26
LD,0.6847348373864636,57,2300,11,3413,2337,2014-02-04
LDRS,0.6875,5,292,7,160,110,2018-10-31
LDUR,0.8863636363636364,13,1280,9,1452,1287,2014-11-11
LEAD,0.85,28,788,7,1120,952,2017-11-16
LGLV,1.036649214659686,2,1512,8,191,198,2018-12-26
LIT,0.9451575262543758,27,2161,8,857,810,2015-08-27
LMBS,0.8223595807578608,360,1081,11,22326,18360,2018-02-05
LMLP,0.4507042253521127,16,1164,8,497,224,2018-09-14
LNGR,0.6862745098039216,10,696,7,306,210,2018-10-25
LOUP,0.7679180887372014,9,175,8,293,225,2018-11-01
LQD,0.9655172413793104,7,2300,9,841,812,2010-11-22
LSAF,0.7361963190184049,5,98,9,163,120,2018-10-30
LTL,0.7022950819672131,51,2300,8,3050,2142,2016-11-03
LTPZ,0.8687782805429864,3,2300,7,221,192,2015-06-12
LVHB,0.868421052631579,1,587,7,38,33,2018-12-26
LVHD,0.8,6,792,7,240,192,2017-10-04
LVHE,0.7136563876651982,12,566,7,454,324,2017-06-21
LVIN,0.7115117891816921,38,449,7,1442,1026,2018-05-29
LVL,0.44281793229643185,44,2300,8,1093,484,2010-12-02
MAGA,0.7415730337078652,22,362,8,801,594,2018-11-29
MBB,0.9210526315789473,1,2300,7,114,105,2013-07-15
MBG,0.7029855753102986,403,2300,8,14905,10478,2016-11-15
MCHI,1.1202003338898163,11,1987,7,599,671,2014-05-07
MCRO,0.6996770721205597,25,2300,7,929,650,2011-10-11
MDY,1.1152815013404827,13,2300,12,4103,4576,2018-12-26
MDYG,1.2518296739853627,71,2300,9,3006,3763,2018-12-26
MDYV,1.032258064516129,8,2300,8,403,416,2018-12-26
MFDX,0.7272727272727273,1,370,7,33,24,2018-10-30
MGC,1.3016949152542372,4,2300,8,295,384,2018-12-26
MGK,1.411764705882353,5,2300,8,425,600,2018-12-26
MGV,1.4594594594594594,9,2300,8,481,702,2018-12-26
MIDU,1.057057057057057,16,2300,9,666,704,2018-12-26
MIDZ,0.05031561613759034,50,2300,12,10931,550,2019-02-22
MILN,0.8298969072164949,7,704,9,194,161,2017-08-29
MINC,0.8142455482661668,181,1493,11,10670,8688,2016-01-11
MJ,0.9390862944162437,5,1017,8,197,185,2018-12-24
MLPA,0.4669811320754717,11,1722,8,212,99,2018-04-05
MLPG,0.5420875420875421,7,2168,8,297,161,2015-03-18
MLPI,0.5565476190476191,17,2239,9,672,374,2015-07-07
MLPQ,0.6304347826086957,11,764,11,506,319,2017-10-30
MLPX,0.4727272727272727,4,1396,8,110,52,2014-10-15
MLPY,0.22346368715083798,20,1997,9,537,120,2011-06-09
