,Start,High,Low,Last,Drop,Recover,TotalChange,Score,HighDate,LowDate,DropTime
TAP,89.56,90.25,54.17,61.04,0.6,1.127,0.682,2.171,2017-09-12,2018-12-24,323
AAP,92.31,186.15,78.81,157.71,0.423,2.001,1.708,3.138,2018-11-14,2017-11-08,211
CPRT,32.71,67.08,31.89,59.21,0.475,1.857,1.81,3.484,2018-09-13,2017-09-12,170
ATO,87.96,100.76,76.46,98.3,0.759,1.286,1.118,3.649,2018-11-20,2018-02-06,271
HRL,31.71,46.26,29.75,42.53,0.643,1.43,1.341,3.564,2018-11-19,2017-10-25,201
EMN,85.87,112.45,67.4,84.48,0.599,1.253,0.984,2.68,2018-03-13,2018-12-26,199
MAS,37.74,46.45,27.03,37.89,0.582,1.402,1.004,2.801,2018-01-18,2018-12-26,236
NBL,25.06,37.76,17.11,22.72,0.453,1.328,0.907,2.025,2018-07-10,2018-12-26,117
AES,11.38,17.6,9.87,17.33,0.561,1.756,1.523,3.679,2019-02-22,2018-02-09,274
KSU,106.0,120.34,90.55,111.5,0.752,1.231,1.052,3.434,2018-08-29,2018-12-24,80
UHS,112.49,139.63,95.26,134.4,0.682,1.411,1.195,3.555,2018-12-03,2017-11-15,216
REG,64.74,70.64,54.87,65.78,0.777,1.199,1.016,3.442,2017-12-18,2018-02-12,37
NOV,32.38,49.08,24.27,28.55,0.494,1.176,0.882,2.033,2018-07-31,2018-12-26,102
AKAM,46.45,83.08,46.13,69.54,0.555,1.507,1.497,3.334,2018-06-21,2017-09-14,172
URI,127.11,190.74,94.28,136.29,0.494,1.446,1.072,2.488,2018-03-13,2018-12-26,199
LNT,43.5,46.58,36.84,45.34,0.791,1.231,1.042,3.596,2018-12-04,2018-02-06,271
CBOE,104.73,138.54,87.87,95.4,0.634,1.086,0.911,2.532,2018-01-29,2018-12-26,229
DRE,30.0,30.38,24.3,30.07,0.8,1.237,1.002,3.582,2019-02-25,2018-03-02,288
KMX,68.76,81.67,55.24,59.8,0.676,1.083,0.87,2.64,2018-06-22,2018-12-20,125
RJF,77.65,102.17,69.11,83.58,0.676,1.209,1.076,3.089,2018-05-22,2018-12-26,150
KSS,43.51,83.28,37.97,65.86,0.456,1.735,1.514,2.963,2018-11-12,2017-11-09,212
COG,26.15,29.57,20.95,24.89,0.708,1.188,0.952,3.03,2017-11-30,2018-10-25,227
PKI,68.43,98.33,67.51,94.13,0.687,1.394,1.376,3.806,2018-10-01,2017-09-26,180
PNW,90.73,93.88,73.41,93.68,0.782,1.276,1.033,3.611,2019-02-25,2018-06-11,357
FFIV,117.84,199.71,114.63,171.59,0.574,1.497,1.456,3.39,2018-09-28,2017-10-11,191
LW,45.67,83.86,45.02,69.49,0.537,1.544,1.522,3.293,2018-11-14,2017-09-25,179
JKHY,102.66,163.68,100.78,132.3,0.616,1.313,1.289,3.206,2018-09-17,2017-09-20,176
VIAB,27.28,35.55,22.13,28.91,0.623,1.306,1.06,2.948,2018-01-12,2017-11-16,217
IRM,40.37,41.53,30.22,35.04,0.728,1.159,0.868,2.951,2017-11-21,2018-10-26,234
TPR,40.9,55.5,31.91,36.16,0.575,1.133,0.884,2.32,2018-04-27,2019-02-07,196
WRK,59.02,71.55,35.2,39.67,0.492,1.127,0.672,1.77,2018-01-26,2018-12-24,229
CF,32.5,56.51,31.75,43.25,0.562,1.362,1.331,3.027,2018-10-04,2017-09-13,171
TTWO,100.74,139.91,85.57,87.29,0.612,1.02,0.866,2.308,2018-10-01,2019-02-25,99
FRT,130.23,136.91,106.41,134.22,0.777,1.261,1.031,3.562,2019-02-11,2018-02-14,277
GRMN,52.46,84.83,51.57,83.55,0.608,1.62,1.593,3.907,2019-02-25,2017-09-13,171
NDAQ,73.9,96.84,71.65,90.14,0.74,1.258,1.22,3.667,2018-09-05,2017-11-07,210
HAS,95.94,109.6,76.84,86.17,0.701,1.121,0.898,2.831,2018-09-19,2018-12-24,66
DISCK,19.62,31.55,14.99,27.57,0.475,1.839,1.405,3.082,2018-11-08,2017-11-15,216
TIF,95.96,141.64,73.04,94.01,0.516,1.287,0.98,2.34,2018-07-26,2018-12-24,104
ZION,42.91,59.19,38.08,50.99,0.643,1.339,1.188,3.25,2018-05-22,2018-12-26,150
NI,27.26,28.11,22.44,26.46,0.798,1.179,0.971,3.431,2018-09-13,2018-02-08,273
BEN,41.99,45.96,27.34,32.48,0.595,1.188,0.774,2.335,2018-01-24,2018-12-26,232
JBHT,101.59,131.74,88.38,107.39,0.671,1.215,1.057,3.049,2018-06-13,2018-12-24,134
HII,212.21,276.69,173.8,213.6,0.628,1.229,1.007,2.808,2018-02-21,2018-12-24,212
JNPR,27.04,30.8,23.61,27.6,0.767,1.169,1.021,3.359,2018-11-08,2018-04-18,320
ALB,124.5,144.99,71.89,91.57,0.496,1.274,0.736,1.994,2017-11-08,2018-12-26,283
XRAY,59.23,68.98,33.93,41.54,0.492,1.224,0.701,1.894,2017-11-28,2018-10-29,231
PKG,117.9,131.13,77.9,99.51,0.594,1.277,0.844,2.52,2018-01-26,2018-12-24,229
RE,231.95,264.88,201.09,223.2,0.759,1.11,0.962,3.145,2018-03-21,2018-12-26,193
AVY,94.51,123.67,82.89,107.94,0.67,1.302,1.142,3.275,2018-01-31,2018-12-26,227
WHR,174.23,190.73,99.4,144.67,0.521,1.455,0.83,2.381,2017-10-05,2018-12-26,307
HSIC,69.6314,71.6471,49.0667,59.83,0.685,1.219,0.859,2.847,2018-12-04,2018-03-02,288
NLSN,39.07,42.16,20.53,25.67,0.487,1.25,0.657,1.857,2017-10-20,2018-07-26,191
IPG,20.33,26.01,18.3,23.65,0.704,1.292,1.163,3.457,2018-02-16,2017-11-15,216
SNA,147.57,189.46,135.29,160.81,0.714,1.189,1.09,3.254,2018-09-21,2018-12-24,64
JEC,55.2,82.24,55.17,74.83,0.671,1.356,1.356,3.64,2018-11-08,2017-09-12,170
HFC,32.8,83.28,31.95,54.72,0.384,1.713,1.668,2.597,2018-06-04,2017-09-14,172
LKQ,35.45,43.86,22.74,27.52,0.518,1.21,0.776,2.057,2018-01-29,2019-01-03,234
MHK,258.61,286.85,109.35,141.4,0.381,1.293,0.547,1.402,2017-12-04,2018-12-26,266
PVH,129.88,169.22,86.46,115.82,0.511,1.34,0.892,2.281,2018-06-11,2018-12-24,136
BWA,47.06,58.22,32.46,41.96,0.558,1.293,0.892,2.438,2018-01-17,2018-12-26,237
ALLE,81.33,94.3,73.85,88.7,0.783,1.201,1.091,3.589,2018-12-03,2018-05-03,331
TMK,77.1,93.6,69.68,82.62,0.744,1.186,1.072,3.36,2018-01-29,2018-12-26,229
UNM,48.25,58.73,26.77,37.44,0.456,1.399,0.776,1.984,2018-01-12,2018-12-26,239
QRVO,72.9,86.84,54.735,68.7,0.63,1.255,0.942,2.768,2018-03-12,2019-01-03,205
RHI,45.97,79.91,44.72,67.82,0.56,1.517,1.475,3.351,2018-08-09,2017-09-15,173
ADS,219.14,278.33,142.58,174.29,0.512,1.222,0.795,2.065,2018-01-12,2018-12-26,239
ARNC,25.04,31.17,15.63,18.41,0.501,1.178,0.735,1.917,2018-01-16,2018-12-26,238
BFB,48.27,48.84,48.05,48.84,0.984,1.016,1.012,3.991,2019-02-22,2019-02-22,0
IVZ,32.42,38.43,15.38,18.98,0.4,1.234,0.585,1.455,2018-01-26,2018-12-26,230
SLG,96.62,106.54,76.77,91.18,0.721,1.188,0.944,3.074,2018-08-20,2018-12-26,88
WU,18.88,22.21,16.42,17.71,0.739,1.079,0.938,2.981,2018-01-08,2018-12-26,243
AIV,46.04,50.09,37.97,49.21,0.758,1.296,1.069,3.585,2019-02-22,2018-02-21,281
M,21.55,41.99,17.41,24.36,0.415,1.399,1.13,2.099,2018-08-14,2017-11-07,210
ALK,75.77,82.68,57.28,62.75,0.693,1.095,0.828,2.665,2017-10-10,2019-01-03,309
KIM,20.3,20.63,13.16,17.69,0.638,1.344,0.871,2.826,2017-09-15,2018-04-25,152
AOS,57.65,68.39,40.34,53.34,0.59,1.322,0.925,2.651,2018-01-29,2018-10-30,191
NWL,44.05,44.44,15.12,17.13,0.34,1.133,0.389,1.035,2017-09-13,2018-10-29,284
DISH,54.49,54.81,23.22,31.95,0.424,1.376,0.586,1.664,2017-09-12,2018-12-27,325
DVA,59.66,80.71,48.25,58.24,0.598,1.207,0.976,2.611,2018-01-11,2018-12-26,240
FLIR,39.02,63.88,38.67,52.63,0.605,1.361,1.349,3.279,2018-09-14,2017-09-28,182
XEC,100.55,130.16,55.62,73.72,0.427,1.325,0.733,1.758,2018-01-12,2018-12-26,239
PHM,26.21,35.21,20.64,27.56,0.586,1.335,1.052,2.798,2018-01-23,2018-10-23,190
NKTR,22.0,111.36,21.11,40.98,0.19,1.941,1.863,1.446,2018-03-12,2017-09-21,177
CPB,47.76,51.07,32.03,32.26,0.627,1.007,0.675,2.109,2017-12-05,2019-01-02,269
RL,92.35,147.79,83.26,127.15,0.563,1.527,1.377,3.27,2018-07-31,2017-10-12,192
FL,35.18,61.36,28.42,59.8,0.463,2.104,1.7,3.523,2019-02-21,2017-11-08,211
HBI,25.4,25.73,11.57,19.04,0.45,1.646,0.75,2.156,2017-09-13,2018-12-26,323
PBCT,16.6,20.26,13.66,17.69,0.674,1.295,1.066,3.183,2018-03-12,2018-12-26,200
PNR,42.9214,50.2619,35.3,43.27,0.702,1.226,1.008,3.137,2018-01-16,2018-12-26,238
FBHS,64.67,73.62,35.27,48.4,0.479,1.372,0.748,2.031,2018-01-24,2018-12-26,232
SEE,43.68,49.94,30.22,43.79,0.605,1.449,1.003,2.967,2017-12-19,2018-10-23,212
