,%Down,%Up,Change
SCI,0.0,0.333,0.9767
NTNX,0.333,0.25,1.0
BAH,0.167,0.417,1.0385
SGEN,0.333,0.333,0.9467
SBNY,0.25,0.417,1.0385
TER,0.083,0.25,1.1081
GLPI,0.167,0.167,1.0
AIV,0.083,0.167,1.0
JAZZ,0.417,0.5,0.9844
GWRE,0.417,0.333,0.9892
IONS,0.25,0.333,1.0
TECH,0.25,0.333,1.0265
RNG,0.333,0.417,1.0938
KRC,0.0,0.25,1.0423
KIM,0.0,0.0,1.0
GRUB,0.333,0.583,0.9875
CSL,0.167,0.333,1.1182
TTC,0.25,0.583,1.1525
FICO,0.25,0.667,1.0736
DISH,0.083,0.417,1.0323
PHM,0.083,0.167,1.0
OHI,0.083,0.167,0.9231
LPT,0.0,0.0,1.0
AZPN,0.25,0.417,1.0202
FL,0.167,0.167,1.0536
RL,0.083,0.583,1.0242
ATH,0.0,0.083,1.0233
WEX,0.167,0.75,1.0736
OKTA,0.5,0.417,1.0244
BLUE,0.417,0.417,0.9776
ARW,0.167,0.333,1.0658
FLIR,0.0,0.083,1.0612
NBIX,0.583,0.25,0.8966
FBHS,0.167,0.25,1.0667
INVH,0.0,0.0,1.0455
BFAM,0.333,0.167,1.0513
BERY,0.083,0.25,1.0612
BRO,0.0,0.25,1.0741
CCK,0.083,0.333,1.0588
SEE,0.167,0.167,1.075
HRC,0.083,0.25,1.0297
SEIC,0.0,0.333,1.0612
LSXMK,0.083,0.167,1.0
XEC,0.333,0.417,1.0
CRL,0.0,0.583,1.1429
HBI,0.083,0.167,1.2667
PNR,0.167,0.167,1.0488
MPW,0.083,0.0,1.0
W,0.417,0.417,1.2735
XPO,0.417,0.333,0.8667
ALNY,0.5,0.25,0.963
HUBB,0.167,0.5,1.0526
CC,0.25,0.25,1.0541
POST,0.167,0.583,1.0521
SAGE,0.333,0.667,1.0408
MIDD,0.333,0.417,0.9597
AFG,0.083,0.5,1.0532
EEFT,0.333,0.417,1.1368
PRAH,0.25,0.5,1.0556
DCI,0.0,0.25,1.0833
XRX,0.083,0.25,1.069
INGR,0.25,0.25,1.0
LPLA,0.25,0.417,1.0132
PBCT,0.0,0.0,1.0625
ATR,0.167,0.25,1.02
KAR,0.417,0.25,0.8868
CBSH,0.083,0.417,1.05
WTR,0.083,0.167,1.0286
